"read_num","time","abs","enzyme","abs_corr"
29,38,0.0418,"Library A",0.0789599999999999
29,43,0.0425,"Library A",0.0987000000000001
29,50,0.044,"Library A",0.141
29,60,0.0734,"Library A",0.97008
29,70,0.0958,"Library A",1.60176
29,85,0.1851,"Library A",4.12002
29,94,0.2174,"Library A",5.03088
30,0,0.0375,"Library A",-0.0423
30,27,0.0414,"Library A",0.06768
30,38,0.0421,"Library A",0.08742
30,43,0.0429,"Library A",0.10998
30,50,0.0444,"Library A",0.15228
30,60,0.0714,"Library A",0.91368
30,70,0.0946,"Library A",1.56792
30,85,0.1827,"Library A",4.05234
30,94,0.2166,"Library A",5.00832
31,0,0.0863,"Library A",1.33386
31,27,0.0404,"Library A",0.03948
31,38,0.0422,"Library A",0.09024
31,43,0.0422,"Library A",0.09024
31,50,0.044,"Library A",0.141
31,60,0.0724,"Library A",0.94188
31,70,0.0922,"Library A",1.50024
31,85,0.1744,"Library A",3.81828
31,94,0.2138,"Library A",4.92936
32,0,0.0427,"Library A",0.10434
32,27,0.0408,"Library A",0.0507600000000001
32,38,0.0422,"Library A",0.09024
32,43,0.0427,"Library A",0.10434
32,50,0.0444,"Library A",0.15228
32,60,0.0457,"Library A",0.18894
32,70,0.0908,"Library A",1.46076
32,85,0.1831,"Library A",4.06362
32,94,0.2191,"Library A",5.07882
